year,antigripal,antihepatitis_A_peds,antihepatitis_B_peds,antihepatitis_A_adul,antihepatitis_B_adul,antimeningococo,antimeningococo_conjugada,antineumococo,antineumococo_conjugada,antiparotiditis,antirrabica,antirrubeolica,antisarampionosa,antitetanica,antivaricela,bcg,antihepatitis_A_brote,cuadruple_ambas,doble_adultos,doble_kids,doble_viral,fiebre_amarilla,fiebre_hemorragica_argentina,igg_antitetanica,igg_antihepatitis_B,igg_standart,igg_inespecifica,antihaemophilus,pentavalente,ppd,quintuple_acelular,rotavirus,sabin,salk,sextuple,triple_acelular_niños,triple_acelular_adulto,triple_viral,tetraxim,vph,otras
1999,15243,0,0,2355,12096,386,0,1186,0,35,0,57,57863,118694,0,156374,0,151337,79675,3159,0,0,0,0,0,0,0,14510,0,49821,0,0,239228,12,0,79333,0,101481,0,0,0
2000,26408,0,0,3173,45127,1024,0,1023,0,4,0,112,37936,34361,0,134675,0,153396,128658,1566,0,0,0,0,0,0,0,11594,0,41402,0,0,175847,59726,348,65007,0,105471,0,0,0
2001,16618,0,0,2600,126360,1139,0,706,0,2,0,92,63279,16362,6,132770,0,118798,125065,1112,20261,0,0,0,0,0,0,49553,0,40668,0,0,236262,2772,0,100030,0,82393,0,0,0
2002,27971,0,0,6971,243858,547,0,2430,0,212,0,104,34384,11561,329,129553,0,174583,183597,1258,92886,0,0,0,0,0,0,359,0,48348,163,0,251975,1961,11,53318,0,35161,0,0,0
2003,41347,0,0,24012,270874,1196,0,3839,0,35,0,1,1945,12544,1446,128220,0,175605,210934,961,35160,0,0,0,0,0,0,402,0,50213,0,0,239632,1963,0,55396,0,135532,0,0,0
2004,31652,0,0,19047,310727,1910,0,2779,0,0,0,0,0,1869,1016,120042,12987,171527,199440,0,25781,0,0,0,21,85,0,382,0,42618,910,0,225325,1993,0,49681,0,132374,0,0,9268
2005,46664,0,0,41912,249095,1240,218,4951,234,0,0,0,0,1848,1222,88819,0,154396,179313,0,68117,0,0,0,77,127,0,339,0,34471,2193,0,201626,1740,0,44071,0,190497,0,0,17714
2006,41268,0,0,55310,225344,1807,282,5961,686,0,0,0,0,0,1653,96958,0,148593,182390,0,694965,0,0,2837,77,132,0,316,0,36809,2866,0,190106,1657,0,40131,0,113290,0,0,6337
2007,57582,0,0,55304,226823,2037,240,5337,1139,0,0,0,0,0,1348,62928,0,149684,174530,0,22671,0,0,1631,186,88,0,347,0,25270,2930,52,183751,1118,0,35313,0,101862,0,0,4225
2008,67107,0,0,48025,225519,1890,435,5828,965,0,0,0,0,0,1483,60224,0,136301,186278,0,157006,0,0,1814,148,0,42,852,0,36307,2792,1396,181387,2207,0,33186,0,90757,0,0,4538
2009,113293,0,0,35065,127198,823,46,4684,172,0,0,0,0,0,2275,36802,0,71601,119545,0,40945,0,0,1165,73,0,8,318,35368,26000,2159,3670,160627,1846,0,26883,0,68498,0,0,1164
2010,543153,0,0,37960,102431,287,587,16434,1586,0,0,0,0,0,542,35554,0,29249,111845,0,21079,0,0,186,48,0,3,239,77779,21013,703,1130,145419,2808,0,24352,0,113553,0,0,3565
2011,376968,0,0,49795,135648,363,3928,18400,9761,0,0,0,0,0,2996,50403,0,35052,131456,0,10022,0,0,229,187,0,1,660,91155,29257,2765,5054,164004,2347,0,29784,33343,88197,0,16359,1203
2012,304273,70404,90920,4046,28246,0,1423,21122,191980,0,0,0,0,0,811,60761,0,35893,114989,0,14882,0,0,483,188,0,2,415,86075,26687,1387,2348,166363,7245,0,33967,90948,106986,0,64134,4302
2013,478904,30705,41393,4611,50177,0,1683,27931,77997,0,0,0,0,0,1708,32972,0,17020,87553,0,15707,0,0,72,52,0,0,271,89211,24996,802,2667,136223,1952,217,24087,35810,57247,0,35034,350
2014,361321,50209,42761,6127,72046,0,2142,15451,140382,0,0,0,0,0,3973,89360,0,11501,87416,0,112077,0,0,0,129,0,0,503,179061,25574,1844,4710,243444,4618,782,41630,77257,89341,4051,63178,0
2015,499004,39685,81106,340,81281,0,8229,15226,97685,0,17,0,0,0,17631,50461,0,1997,93425,0,24236,0,16,0,75,0,0,5814,118440,26358,1752,55365,158098,3859,1875,33954,57350,79663,0,41409,0
2016,566673,72993,101291,7413,106908,0,1271,22070,174100,0,28831,0,0,0,52554,62378,0,3031,109636,0,6141,2924,2954,0,712,0,0,685,140941,26051,0,105924,157185,36545,766,46436,101426,128950,0,51161,0
